DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
375,52,37,y3fP2vkECtS5QAmpvvqNt9BUCYO14n82,cut,carrot,pick up carrot,601921,603315,1,1,1.4,,
376,52,38,GrIjHybcTo49pHEtIzoJ6nqZy6CSZS6G,cut,carrot,"clench fist, pick up carrot",603570,608349,1,1,4.8,,
377,52,39,MFsZtbGGaCqzyNzchWBFOR6A3FAU9Ndz,cut,celery,pick up celery,614051,616389,1,1,2.3,,
378,52,40,YNZMCfGHHws0Un1Kwdx86d2T03yT5kd0,cut,celery,chop celery,616398,620410,1,1,4,,
379,52,41,ZgOEMfKLHuYBVxqLLZYVvNxUeCGA5tTY,off,lid,"remove lid from pot, turn to stove",635302,640693,1,1,5.4,,
380,52,42,ZKubLfaAtr2vJ1NCckmV8ToNWMQXuN2t,off,lid,take lid off pot,641227,643853,1,1,2.6,,
381,52,43,BUVzRxt9qOUKRmVRjZsy8wgTeiquCly2,add,veges,put veggies in water,657600,662520,1,1,4.9,,
382,52,44,XBoLHEm4JYZHYXuipHXT2iNDGTpnn66T,add,veges,put veggies in pot,672029,674356,1,1,2.3,,
383,52,45,zI8QgR3hhMDcbqMXhTfUx3t4XlTBCD84,off,gas,turn off pan heat,689655,694787,1,1,5.1,,
384,52,46,RZfxUUS5GOBLKG0nYWIWSt7kdDJiOYd4,off,gas,turn off heat,695699,697911,1,1,2.2,,
385,52,47,DI0Jpy1dxYRxtwfuQ2JXyAPAYTBBi6qO,add,veges,"put pan into pot, turn to stove",707901,713157,1,1,5.3,,
386,52,48,z55JYrvandqTvGEbsLYpipjX4BDnL6qF,add,veges,"pick up pan, put veggies in pot",714239,718633,1,1,4.4,,
387,52,49,whSYp4p1T6JbjlT44nvQOOBX3JAXQFr1,add,spice,add spices to pot,731066,734263,1,1,3.2,,
388,52,50,CXq48otxwkIkp3LQfsGYZZcruRWzPeGM,add,spice,"pick up spice, shake spice into pot",735050,740225,1,1,5.2,,
389,52,51,HdXE5yPcb6rLaI8vuKdBeAjGHNbgYkv8,mix,veges,stir veggies,760779,762672,1,1,1.9,,
390,52,52,TDoaCOph6Ell8Cc0Ghi1lYKxpFH2NVV2,mix,veges,turn to pot,764091,766640,1,1,2.5,,
391,52,53,pvDpSI2EO5510xnyGwF2WF3s0WAW14gV,mix,veges,turn to pot,768241,770326,1,1,2.1,,
392,52,54,VBGKrsCDBz4LA0cvaMbQALAmQh5gKr1b,mix,veges,turn to pot,775498,779033,1,1,3.5,,
393,52,55,ZASN0EYtwJBvKKy8ZFXi6Jif89KTGSjF,mix,veges,turn behind,779052,781497,1,1,2.4,,
394,52,56,YEWZDgh9hD6xNG73gT0AhoHfhGdVKIBr,mix,veges,turn behind,781571,785689,1,1,4.1,,
395,52,57,Ma9jFWmaOhNUQHPJi2J6kqGhJxoDDsBM,on,lid,put lid on pot,806581,810033,1,0,3.5,,
396,52,58,jBIxO6TmP9K0GYtPvudDWC5r4DkaZDN9,off,gas,turn off heat,825743,829413,1,1,3.7,,
397,52,59,ZGgfqOCa6JQEs5CyNd3uPwTdsMdFziG3,off,lid,take lid off pot,841089,844277,1,1,3.2,,
398,52,60,tro4n292WNnFEA1A1fJsGtrwcbFD6SCh,fetch,soup,"serve soup, spoon soup into bowl",860811,868473,1,1,7.7,,
399,52,61,cfCg92DYKYeGKdMbyQKtWHh1LVZpevLL,fetch,soup,grab ladle,876696,879289,1,1,2.6,,
400,52,62,n2leM39PgAPnHCRMvL1cgg0hYg9TDVnY,clean up,,clean up,914029,919355,1,1,5.3,,
401,53,0,uwOcOZMZiyUcgfEEmSAPI9zWoGz0wDkT,Turn,gas,go to stove,202654,207423,1,1,4.8,F (C_StovePot U StovePot),
402,53,1,HYKzM0hRjsIu8ScYacoyWZHR9vsi35dg,on,gas,boil water,207526,210660,1,1,3.1,G (C_StovePotKnob U StovePotKnob) & ( G (C_StovePotKnob U Stove_On)),
403,53,2,toit6QVgUnz9zqle0BlBPr89celJ64L8,Turn,gas,go to stove,210665,213413,1,1,2.7,F (C_StovePot U StovePot),
404,53,3,ZAuftWhcC1QgSNktzondjz4Zm7D9cxH2,on,gas,turn on flame,216017,229544,1,1,13.5,G (C_StovePotKnob U StovePotKnob) & ( G (C_StovePotKnob U Stove_On)),
405,53,4,jRczELgcwMgGT8l5bq4iHyaA6fZ1YDts,on,lid,put lid on pot,234193,238160,1,1,4.0,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
406,53,5,tXgJypVVJW0lUScvgX88KRSIyi4woe66,on,lid,turn to face stove,238995,242213,1,1,3.2,F (C_StovePot U StovePot),
407,53,6,O4D6OV24ET1BOu0VMX4910HrthGKFXxo,on,lid,take pot,243208,247006,1,1,3.8,X (G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT))),
408,53,7,P1dJxAZsS1Zpww4ukeX6V1V1EQ8Bd002,on,lid,place lid on top,249245,252395,1,1,3.2,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
409,53,8,HA0pYtXU1Hg0D4iLKy0kyZo8Lfhh7PPh,fetch,onion,"turn around, place onion down",260051,265923,1,1,5.9,X ( F (C_Veges U Veges) & G (C_Onion U Onion) & G (C_Onion U Onion_FarFrom_CT) & F (C_CB U CB) & F (C_CB U Onion_OnTopOf_CB)),
410,53,9,RNxkKZkZS2aZQB19IiJRINNZz576DJKO,Turn,onion,turn around,266703,268393,1,0,1.7,F (C_Veges U Veges),
411,53,10,z77SE7VYcDYwlNuc7tGMPexz4m9LwaOx,fetch,onion,grab onion,271263,275383,1,1,4.1,G (C_onion U onion),
412,53,11,Gzn0SghFOhMOxn6uyd2XYSGvA8fqNfzB,fetch,onion,"turn around, place onion on board",279330,283159,1,0,3.8,X ( F (C_Veges U Veges) & G (C_Onion U Onion) & G (C_Onion U Onion_FarFrom_CT) & F (C_CB U CB) & F (C_CB U Onion_OnTopOf_CB)),
413,53,12,Q1T4PsfC0MY8UqFHkfe9ALlXLwUjTzGK,fetch,carrot,place carrot on board,287890,292520,1,1,4.6,X ( F (C_Veges U Veges) & G (C_Carrot U Carrot) & G (C_Carrot U Carrot_FarFrom_CT) & F (C_CB U CB) & F (C_CB U Carrot_OnTopOf_CB)),
414,53,13,GhJIGcH27d6JdYTcvipNzB8FQJWb67fF,Turn,carrot,turn around,292553,294229,1,1,1.7,F (C_Veges U Veges),
415,53,14,EZEAAVH2fpo1pfbu0q82lwgcXR3oLAJT,fetch,carrot,take carrot,294237,296535,1,0,2.3,X (G (C_Carrot U Carrot)& G (C_Carrot U Carrot_FarFrom_CT)),
416,53,15,i2ossnU0Nu92tkemcyXDGOSyS6493bVW,fetch,carrot,"turn around, put carrot on board",300760,304381,1,1,3.6,X (F (C_CB U CB) & F (C_CB U Carrot_OnTopOf_CB)),
417,53,16,sSSpzzXKNqVFRzrsw1XElxhROldqA8ob,cut,onion,cut onion,308118,311722,1,1,3.6,X ( G (C_Onion U Onion_FarFrom_CT) & G F (Onion_OnTopOf_CB & Onion_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Onion) & G (C_Onion U Onion_Pieces) ) ),
418,53,17,1XECX2seLu4Aby0KYg9vW4YzkH5dZgb0,cut,tomato,cut tomato,324760,328388,1,0,3.6,X ( G (C_Tomato U Tomato_FarFrom_CT) & G F (Tomato_OnTopOf_CB & Tomato_CloseTo_CB)  & X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Tomato) & G (C_Tomato U Tomato_Pieces) ) ),
419,53,18,yJEvwUh4jWlduOqD0wL3Mz1uL9s3rCC3,cut,tomato,reference to tomato,330603,336637,1,1,6.0,X ( G (C_Tomato U Tomato_FarFrom_CT) & G F (Tomato_OnTopOf_CB & Tomato_CloseTo_CB)),
420,53,19,vZLDQQ1yZW4DWOZaztaLPJP7HpscEUiA,cut,tomato,reference to cutting,337106,339517,1,0,2.4,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT) & G (C_Knife U Knife_OnTopOf_Tomato) & G (C_Tomato U Tomato_Pieces) ),
421,53,20,nl8K4CtqFNXVqkUMlG3VlV085Y0q6NrP,cut,tomato,pick up tomato,339552,342547,1,1,3.0,X ( G (C_Tomato U Tomato_FarFrom_CT) & G F (Tomato_OnTopOf_CB & Tomato_CloseTo_CB)),
422,53,21,wgbSYIYo9Tglx6nJ2qPV7qQ1WcF62XnX,cut,tomato,put tomato on board,343276,344884,1,1,1.6,G F (Tomato_OnTopOf_CB & Tomato_CloseTo_CB),
423,53,22,ZlsqidKnAUDW88R98BR67lxRv5SbhSbS,cut,tomato,pick up knife,344915,347324,1,1,2.4,X  (G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)),
424,53,23,xCDnKHq8SaNOKCV0urexJxE02ou3ro8f,cut,tomato,cut the tomato,347899,349642,1,0,1.7,X (G (C_Knife U Knife_OnTopOf_Tomato) & G (C_Tomato U Tomato_Pieces)),
425,53,24,4qkZY0ioEZApfuDBueZPhRNe0KdO9tsC,on,gas,heat up pan,360127,364242,1,0,4.1,X ( F (C_StovePan U StovePan) & G (C_StovePotKnob U StovePotKnob) & ( G (C_StovePanKnob U Stove_On))),
426,53,25,rsOWbl2WgFMqvrT0vS7GeC9OG7F0XtvR,on,gas,adjust fire,367588,373517,1,1,5.9,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (C_StovePotKnob U Stove_On))),
427,53,26,ZlJRONuZ8AIrNs3MY3essWFgBvJrhQx2,add,oil,put oil in pan,382168,385436,1,1,3.3,X (F (C_StovePan U StovePan | G (C_Oil U Oil) & G (C_Oil U Oil_FarFrom_CT) ) & F G (Oil_CloseTo_Pan & Oil_insideof_Pan) & G F (Oil_LeftOf_Pan & Oil_OnTopOf_CT & Oil_CloseTo_CT)),
428,53,27,fW7Q8o9Ky3Kc7ElWoc0fDORRcgMKqYGg,add,oil,grab oil,388751,393349,1,1,4.6,X (F (C_Oil U Oil) & G (C_Oil U Oil)),I
429,53,28,IwW2TbUJObaKyP4uIWURrBYEWi4hM19E,add,oil,put oil in pan,394370,396677,1,0,2.3,F G (Oil_CloseTo_Pan & Oil_insideof_Pan),
430,53,29,ylauzhsjsCwDp1X7KvapOyk14vWBb1yN,add,veges,place onions in pan,404562,407454,1,1,2.9,X (F (C_StovePan U StovePan | G (C_CB U Onion) & G (C_Onion U Onion_FarFrom_CT) ) & F G (Onion_insideof_Pan)),
431,53,30,K0Xt8bYduH8Nugf62QKmQhQbrfSW1K2f,add,veges,pick up onions,407854,410031,1,1,2.2,X (G (C_CB U (CB & Onion_Pieces)) & G (C_CB U CB_FarFrom_CT)),
432,53,31,mqYNbTHLbH6xnFF0PZzZioQFmDsqsnYg,Turn,veges,go to pan,414881,418425,1,1,3.5,F (C_StovePan U StovePan),
433,53,32,72vO5Pri9gMSl4BfEO8XUCPOvJASdWW4,add,veges,place onions in pan,420166,422861,1,0,2.7,F G (C_CB & CB_Closeto_StovePan & Onion_OntopOf_CB U Onion_insideof_Pan) ,
434,53,33,c19xLUlu1mO8S1QLPx4VyBvkCyoyL3ZI,add,veges,"take arm, swipe onions into pan",425721,432108,1,1,6.4,,
435,53,34,JlDrR1XI51OrrH3d8x6giwdrZw7b4Lsh,add,salt,put salt in pan,443869,447759,1,1,3.9,X (F (C_StovePot U StovePot | G (C_Salt U Salt) & G (C_Salt U Salt_FarFrom_CT) ) & F G (Salt_CloseTo_Pot & Salt_insideof_Pot)),
436,53,35,LAW5cs5CtmDzgk2bvpjMu4zmngf36155,add,salt,pick up salt,449792,453146,1,1,3.4,G (C_Salt U Salt) & G (C_Salt U Salt_FarFrom_CT),
437,53,36,gaCPj7UszItSDDbsI1q0LFai4Af7fC5s,add,pepper,grind pepper in pan,466246,470161,1,1,3.9,X ( ( G (C_Pepper U Pepper) & G (C_Pepper U Pepper_FarFrom_CT) ) & F G (Pepper_insideof_Pan) & G F (Pepper_LeftOf_Pan & Pepper_OnTopOf_CT & Pepper_CloseTo_CT)),
438,53,37,zZFVTS0MZR8y61HYUFSSt1K1hxMDDNn9,add,pepper,grab pepper,472143,474930,1,1,2.8,G (C_Pepper U Pepper),
439,53,38,ZJVWj4kh2sNHI9DSrAF9F67ZgL2AsWxZ,add,pepper,reference to grabbing,479728,482199,1,0,2.5,,
440,53,39,xmyx6zBl7g0DVHix5ffg7DRCLqfYgzJv,mix,veges,stir the pan,490299,494310,1,1,4.0,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Veggies) U Veggies_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
441,53,40,7FxhrsYyQgNvd9oxunhCFuchhu9Ibqr4,mix,veges,grab spoon,497317,501449,1,1,4.1,X (F (C_Holder U Holder) & G (C_Spoon U Spoon)),
442,53,41,I7ss0s9wiExHFNHF4ZYIXnHIqU0G08jF,mix,veges,"take spoon, stir pan",503446,508274,1,0,4.8,X ( G (C_Spoon U Spoon_FarFrom_Holder) & F (C_Spoon U Spoon_CloseTo_StovePan) & G ((C_Spatula & C_Veggies) U Veggies_Mixed) & G (C_Spoon U Spoon_InsideOf_Holder)),
443,53,42,K7QmFCS8W5fykc2153CcVKNMxBhu0swY,cut,potato,cut potato,524011,527646,1,0,3.6,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & F (C_Veges U Potato) & G (Potato U Potato_FarFrom_CT) & G (C_CB U Potato_CloseTo_CB) & G (C_CB U Potato_OnTopOf_CB) & G (C_Knife U Knife_OnTopOf_Potato) & G ( ( C_Knife & C_Potato ) U Potato_Pieces) ),
444,53,43,AyRbkGfukK7rM5qZHXI6hlKRYFMPdQww,cut,potato,reference to potato,528171,537311,1,0,9.1,F (C_Veges U Potato),
445,53,44,VKliFISeeALdalpSeXEultCO5Bk2454R,cut,potato,reference to potato,539770,541488,1,0,1.7,F (C_Veges U Potato),
446,53,45,Zpud6nMEtZxhzMpnvUi2w7CkxsRbvjtu,cut,potato,pick up potato,542837,546074,1,0,3.2,G (Potato U Potato_FarFrom_CT) ,
447,53,46,OyiLCjhPvrvfulVUZG3LRBhyt2kdjh3c,cut,potato,cut potato,553831,556249,1,0,2.4,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_CB U Potato_CloseTo_CB) & G (C_CB U Potato_OnTopOf_CB) & G (C_Knife U Knife_OnTopOf_Potato) & G ( ( C_Knife & C_Potato ) U Potato_Pieces) ),
448,53,47,6Ln4o0Gy8EKoZ5TzaWucarMdXvcYRdW2,cut,potato,place potato on board,560421,565972,1,1,5.6,X (G (C_CB U Potato_CloseTo_CB) & G (C_CB U Potato_OnTopOf_CB)),
449,53,48,yiUADZXfxJw5C266PwsudWP7xcqKCXUH,cut,potato,cut potato,573578,575335,1,0,1.8,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & G (C_Knife U Knife_OnTopOf_Potato) & G ( ( C_Knife & C_Potato ) U Potato_Pieces) ),
450,53,49,f8lw6ffTMqqBey4bM6G3gC50KREgotMy,cut,carrot,cut carrot,581174,585558,1,0,4.4,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & F (C_Veges U Carrot) & G (Carrot U Carrot_FarFrom_CT) & G (C_CB U Carrot_CloseTo_CB) & G (C_CB U Carrot_OnTopOf_CB) & G (C_Knife U Knife_OnTopOf_Carrot) & G ( ( C_Knife & C_Carrot ) U Carrot_Pieces) ),
451,53,50,3FPsd5OaAhGDPfc3vFGERAPljVHoplZB,cut,celery,cut celery,601958,605560,1,0,3.6,X ( G (C_Knife U Knife) & G (C_Knife U Knife_FarFrom_CT)  & F (C_Veges U Celery) & G (Celery U Celery_FarFrom_CT) & G (C_CB U Celery_CloseTo_CB) & G (C_CB U Celery_OnTopOf_CB) & G (C_Knife U Knife_OnTopOf_Celery) & G ( ( C_Knife & C_Celery ) U Celery_Pieces) ),
452,53,51,IsBYUPsPdXdjfKEAx5J8arYDZlAqKAru,off,lid,remove lid from pot,621801,626550,1,0,4.7,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),
453,53,52,iX5bCe6XnfZzS11OmcYAjtCi5A2HrVmY,off,lid,touch handle,631525,638527,1,1,7.0,,
454,53,53,9nBePYc8irEzoukLQd9nfuKBeYnhIPH1,off,lid,pick up lid,640331,646201,1,0,5.9,X (F (StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT)  ) ))),
455,53,54,gG5DavihGXFAkPYOl8yQ3IgPxElq38AN,add,veges,put veggies in pot,650762,658814,1,1,8.1,X (F (C_CB U CB) & ( G (C_CB U CB) & G (C_CB U CB_FarFrom_CB) ) & F G (Veggies_insideof_StovePot)),
456,53,55,ldcOZRKuP80OaCBbHCaGemrpV2PxNZ59,add,veges,"take board, dump ingredients in pot",673400,678731,1,1,5.3,X (F (C_CB U CB) & ( G (C_CB U CB) & G (C_CB U CB_FarFrom_CB) ) & F G (Veggies_insideof_StovePot)),
457,53,56,t8s7ZU9Ofc6Kio9xBCURSY9LthNmehnX,off,gas,turn off pan fire,688733,692614,1,1,3.9,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),
458,53,57,fMouClXTnYz6L9XTLP3lBsHNcHJBcQrR,off,gas,reference to gas,696407,700223,1,0,3.8,X ( F (C_StovePot U StovePot) & G (C_StovePotKnob U StovePotKnob) & ( G (StovePotKnob U Stove_Off))),
459,53,58,hss5Ol44Fa3Z9lahuGiRHoVmbcyYWZbe,add,veges,"take ingredients from pan, put ingredients in pot",711323,716760,1,1,5.4,X (F (C_StovePan U StovePan) & ( G (C_StovePan U StovePan) & G (C_StovePan U StovePan_FarFrom_Stove) ) & F G (StovePan_CloseTo_StovePot & Veggies_insideof_Pot)),
460,53,59,p5F3WCpjKIGH71HMh5eqdbLYlmTFvbob,add,veges,grab pan,719406,721972,1,0,2.6,X (F (C_StovePan U StovePan) & ( G (C_StovePan U StovePan))),
461,53,60,1Uiim3RFk8MPE4lZWdMa7dhS9jcWTHpR,add,veges,"pick up pan, pour ingredients in pot",723626,728085,1,0,4.5,X (F (C_StovePan U StovePan) & ( G (C_StovePan U StovePan) & G (C_StovePan U StovePan_FarFrom_Stove) ) & F G (StovePan_CloseTo_StovePot & Veggies_insideof_Pot)),
462,53,61,oBrnG9GbhUmDvDybTczRNfpHuQn0pd9E,add,spice,put spices in soup,737537,741724,1,0,4.2,X (( G (C_Spices U Spices) & G (C_Spices U Spices_FarFrom_CT) ) & F (C_StovePot U StovePot) & F G ((C_Spices & C_Pot) U Spices_insideof_Pot) & G F (C_Spice U Spice_OnTopOf_CT)),
463,53,62,L5tmYTLPCahnFb0XTGf6XJwyrnOHyZlO,add,spice,grab spices,743741,746510,1,1,2.8,G (C_Spices U Spices),
464,53,63,spaHqVUJjXnh6IHLnYbXkwj7BbZRoSH1,add,spice,reference to bottle,747633,750197,1,0,2.6,,
465,53,64,WzZcp3MTUa7cNxJvBvG8sNNFl4iFITR6,add,spice,pour spices in pot,752810,755336,1,0,2.5,X (( G (C_Spices U Spices) & G (C_Spices U Spices_FarFrom_CT) ) & F (C_StovePot U StovePot) & F G ((C_Spices & C_Pot) U Spices_insideof_Pot) & G F (C_Spice U Spice_OnTopOf_CT)),
466,53,65,aelLFbMHBCdTxKkIJZpRUUHjbOKtbfn9,mix,soup,stir soup,769458,773075,1,0,3.6,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
467,53,66,pEcxx5jWbMYOBgIzE3qX7LSknuKDOkrR,mix,soup,stir soup,773541,775292,1,0,1.8,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
468,53,67,ZLCgNPzgMuY4YDS5hSfiytS4KtvxYxnR,Turn,soup,turn around,777433,779556,1,0,2.1,F (C_StovePot U StovePot),
469,53,68,VPfthJQ5Cel0CfvrbsEpETyJrhsCkHqJ,mix,soup,mix soup,780200,782124,1,0,1.9,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spatula U Spatula) & G (C_Spatula U Spatula_FarFrom_Holder) & F (C_Spatula U Spatula_CloseTo_StovePan) & G ((C_Spatula & C_Soup) U Soup_Mixed) & G (C_Spatula U Spatula_InsideOf_Holder)),
470,53,69,3u9gZsQulDqWKWRJU0TpQwOU8m2ooiZi,Turn,soup,go to stove,784988,787438,1,1,2.5,F (C_StovePot U StovePot),
471,53,70,vBl8eUA9sLIZVeq4Ch8Ijo5gxZyfEukJ,mix,soup,"take spoon, stir pot",793653,796772,1,0,3.1,X ( ( F (C_StovePot U StovePot) | F (C_StovePan U StovePan) ) & G (C_Spoon U Spoon) & G (C_Spoon U Spoon_FarFrom_Holder) & F (C_Spoon U Spoon_CloseTo_StovePan) & G ((C_Spoon & C_Soup) U Soup_Mixed) & G (C_Spoon U Spoon_InsideOf_Holder)),
472,53,71,Ei5FS7dVUyYWPFp5177ZGbJbictxpfbn,on,lid,place lid on pot,809001,812813,1,1,3.8,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_CT) & G ( ( C_Lid U ( Lid_CloseTo_Pot & Lid_OnTopOf_Pot)  ) ))),
473,53,72,4ZaRomACjmXir1df141DCAo2ApZktBN8,off,gas,turn off pot gas,828782,833102,1,1,4.3,X ( G (C_StovePotKnob U StovePotKnob) & G (StovePotKnob U Stove_Off) ),
474,53,73,4QKr5iOQGXUI1AHrGqHrtufHmFJb7nFL,off,lid,remove lid from pot,845315,848367,1,1,3.1,X ( F (C_StovePot U StovePot) & G (C_Lid U Lid) & ( G (C_Lid U Lid_FarFrom_StovePot) & G ( ( C_Lid U ( Lid_CloseTo_CT & Lid_OnTopOf_CT) ) ))),
475,53,74,KJq7fHusHgc5LqNOnYSlvpXMzWvuP9Ip,fetch,soup,scoop soup into bowl,862595,867379,1,1,4.8,X (F (C_Bowl U Bowl) & G (C_Bowl U Bowl) & G (C_Bowl U Bowl_FarFrom_CT) F (C_StovePot U StovePot) & G (C_Ladle U Ladle) & G (C_Ladle U Ladle_InsideOf_Holder & G (C_StovePot U StovePot) & G (C_StovePot U StovePot_FarFrom_Stove)) & G (C_Soup U Soup_InsideOf_Bowl) G (C_Ladle U Ladle_InsideOf_Holder) &  F (C_CB U CB) & G (C_Bowl U Bowl_OnTopOf_CB)),
476,53,75,3VMsCMaGBWhSDhVyp5oLAiVrmjK4lFjk,fetch,soup,pick up ladle,877653,880974,1,1,3.3,X (F (C_Oil U Holder) & G (C_Ladle U Ladle) & G (C_Ladle U Ladle_InsideOf_Holder)),
477,53,76,0v702q2kRqdCplAB3dApL1UUmscsGlgv,clean up,,do the dishes,909577,913027,1,1,3.5,X (F (C_Bowl U Bowl) & G (C_Bowl U Bowl) & G (C_Bowl U Bowl_FarFrom_CT) & G (C_Sink U Sink) & G (C_Bowl U Bowl_InsideOf_Sink) & G (C_Bowl U Bowl_Cleaned)),
478,53,77,P7nUu8BPWV80ZLthWyOrisiPDGeW1rn3,Turn,,turn around,940032,942096,1,1,2.1,F (C_StovePot U StovePot) | F (C_StovePan U StovePan),
479,53,78,r06wSrjjuEadjirmdseSyDCYcl0UTo9J,clean up,,look at stove,947850,949995,1,1,2.1,,
480,54,0,SP6TH5TZVUtgIryY6RJizG3y0sYnANRr,on,gas,"go to stove, turn on stove",203223,207473,1,1,4.3,,
481,54,1,EuHgLMe6TVijTXvYq7STfiHg1PNOtFtx,on,gas,turn on stove,212765,215018,1,0,2.3,,
482,54,2,9d02770633e3463983a1872bfdb96b0b,Turn,gas,turn around,215020,216600,1,1,1.6,,
483,54,3,zcaoiB4ToEFK7gDJTij75gDO60VVxdq2,on,gas,turn on stove,217836,222494,1,1,4.7,,
484,54,4,eQicCa8bQZxMYs0jss0er0dL85AOvgrV,on,lid,"turn to stove, put lid on pot",237344,245617,1,1,8.3,,
485,54,5,Ow4GRrts1Tglc2pJztvZzuacCmcLWMge,on,lid,cover pot with lid,251351,255430,1,1,4.1,,
486,54,6,xs2MDrGYkKlbSV4Grs1uvytYKyCxIMRt,Turn,lid,turn around,255574,258170,1,1,2.6,,
487,54,7,GKUZTqxSzqSKWHvTOOcel3Fe8YNlqxPn,on,lid,"take lid, put lid on pot",258694,262929,1,1,4.2,,
488,54,8,OjlR8SeIihUI9qTpsyYuGIv1UQYS3foo,fetch,onion,"grab onion, place onion on board",275260,279413,1,1,4.2,,
489,54,9,8l1FX8A4sBmtVTxXxKQ9rokQsT6BAl7K,fetch,onion,grab onion,286741,290042,1,1,3.3,,
490,54,10,ntwKqATTj3nJRcOTFlu8TlGENAhAkgCo,fetch,carrot,"turn around, grab carrot",304420,309913,1,1,5.5,,
491,54,11,L9CcNiE3hr3OAkX9GxoB1X7WmXiTdpIt,fetch,carrot,reference to carrot,310818,313643,1,1,2.8,,
492,54,12,UPKdNGkFUsVApfppeH6PtcJTmzFI85yX,fetch,carrot,bring carrot to board,316745,319108,1,1,2.4,,
493,54,13,Giri7LMOTZ9pbMzhi3CBI8HSAUy18UaH,cut,onion,"take knife, dice onion",324311,331358,1,1,7,,
494,54,14,ZR8N3wSNOIH1QYX44G15IjvcoJCGXLBt,cut,tomato,"take tomato, dice tomato",343488,348466,1,1,5,,
495,54,15,5TClcqRmZ1D0c5RBR9LV14NFiLOmBwRR,cut,tomato,dice tomato,348810,351726,1,1,2.9,,
496,54,16,0ad80GOn2MvM21AWv3GrsJ4w7NukhlTU,cut,tomato,grab tomato,357464,360958,1,1,3.5,,
497,54,17,ysB3zo8X0XfAKmK2P4N8e3Zb8D2igpIv,cut,tomato,grab knife,361773,363817,1,1,2,,
498,54,18,LkFS7DnKwtMs3y5bxkjWK58DQAEf9Uc3,cut,tomato,dice tomato,363828,366472,1,1,2.6,,
499,54,19,AW99dUmbBvGKquyd6LwOBehQz8RhWSEq,Turn,gas,turn around,378640,381337,1,1,2.7,,
500,54,20,X5xknULAoP9GGL8byDkGtuznzpFCvkAV,on,gas,turn on stove,381531,387880,1,1,6.3,,
501,54,21,X36eZpXIQA9tCvjStFBUPeuvRlSBAGNu,Turn,oil,turn around,395596,397515,1,0,1.9,,
502,54,22,9lhdWc2tyqJXCmV4EzKrSJnU5r0AttLb,add,oil,grab oil,398143,401102,1,0,3,,
503,54,23,zfMNvoAfjoCjvqesNRak4788oko6ouCH,add,oil,grab oil,402407,405450,1,1,3,,
